word,logfreq,Cat,L,RunNum
unbearable,1.9542,A_hm,10,2
unusual,3.0573,A_hi,7,1
scrappy,1.3617,A_lo,7,4
bacterial,1.3222,A_lo,9,2
mundane,1.5441,A_lo,7,3
tactical,2.2833,A_hm,8,4
hungry,3.3504,A_hi,6,3
eventual,1.3424,A_lo,8,1
thorough,2.4609,A_hi,8,4
contemptible,1.415,A_lo,12,4
lonely,3.1216,A_hi,6,2
cerebral,1.8388,A_lm,8,4
uneasy,2.0899,A_hm,6,1
antisocial,1.5185,A_lo,10,2
unjust,1.699,A_lm,6,2
elusive,1.6721,A_lm,7,1
sadistic,1.699,A_lm,8,3
diverse,1.5315,A_lo,7,3
deafening,1.415,A_lo,9,1
ashamed,3.2082,A_hi,7,1
lateral,1.8451,A_lm,7,4
rhetorical,1.6232,A_lm,10,2
deliver,2.8325,V_hi,7,3
reconvene,1.6721,V_lm,9,1
resign,2.2878,V_hm,6,3
reconcile,1.7993,V_lm,9,3
apologize,3.4146,V_hi,9,4
appoint,2.1004,V_hm,7,2
alienate,1.5315,V_lo,8,4
observe,2.7435,V_hi,7,2
interpret,2.2253,V_hm,9,4
disappoint,2.6513,V_hi,10,1
disqualify,1.4771,V_lo,10,2
regulate,1.415,V_lo,8,3
describe,2.8325,V_hi,8,3
betray,2.6325,V_hi,6,4
continue,3.2639,V_hi,8,2
adjust,2.4942,V_hi,6,1
incorporate,1.4314,V_lo,11,1
apprehend,1.7853,V_lm,9,4
nominate,1.5441,V_lo,8,4
donate,2.0719,V_hm,6,1
cultivate,1.8195,V_lm,9,2
dispose,2.1271,V_hm,7,3
authorize,2.1038,V_hm,9,2
disappear,3.0682,V_hi,9,3
consume,2.0043,V_hm,7,4
divert,1.9345,V_hm,6,1
represent,2.7235,V_hi,9,4
speculate,1.8261,V_lm,9,1
circumvent,1.5563,V_lo,10,2
recover,2.6212,V_hi,7,2
criticize,2.1614,V_hm,9,3
contemplate,1.8451,V_lm,11,3
enroll,1.4314,V_lo,6,3
participate,2.1461,V_hm,11,2
render,2.1038,V_hm,6,4
belittle,1.6721,V_lm,8,4
ignore,2.6955,V_hi,6,1
interject,1.301,V_lo,9,1
decorate,2.0492,V_hm,8,1
manipulate,2.3636,V_hm,10,3
capitalize,1.3424,V_lo,10,4
memorize,2.1072,V_hm,8,2
expect,3.5976,V_hi,6,3
misunderstand,2.2201,V_hm,13,4
acknowledge,2.2068,V_hm,11,1
prefer,2.941,V_hi,6,4
rewrite,2.0492,V_hm,7,3
outweigh,1.3802,V_lo,8,2
incriminate,1.6721,V_lm,11,2
refute,1.6335,V_lm,6,1
distinguish,1.7993,V_lm,11,3
discover,2.673,V_hi,8,2
disturb,2.6848,V_hi,7,1
befriend,1.415,V_lo,8,3
coincide,1.7482,V_lm,8,4
complicate,1.9345,V_hm,10,2
rationalize,1.301,V_lo,11,1
liquidate,1.6232,V_lm,9,2
ensure,2.5263,V_hi,6,3
assimilate,1.1461,V_lo,10,4
disclose,1.9912,V_hm,8,4
simulate,1.4624,V_lo,8,2
advertise,1.9638,V_hm,9,1
deactivate,1.4624,V_lo,10,3
serialize,1.3617,V_lo,9,1
hesitate,2.4594,V_hi,8,4
discriminate,1.7482,V_lm,12,1
supervise,1.9956,V_hm,9,3
recollect,1.8261,V_lm,9,3
aggravate,1.6335,V_lm,9,4
bade,1.3424,V_lo,4,4
pester,1.4771,V_lo,6,2
satisfy,2.574,V_hi,7,2
detest,1.9777,V_hm,6,2
distribute,1.9085,V_hm,10,4
impart,1.2553,V_lo,6,3
oversee,1.6812,V_lm,7,2
suppose,3.4029,V_hi,7,1
admit,3.4618,V_hi,5,3
activate,2.3201,V_hm,8,1
overpower,1.3222,V_lo,9,1
accelerate,1.8451,V_lm,10,1
accompany,2.243,V_hm,9,3
transcend,1.4314,V_lo,9,4
investigate,2.5038,V_hi,11,4
descend,1.8261,V_lm,7,3
initiate,1.9685,V_hm,8,2
examine,2.616,V_hi,7,2
proclaim,1.7559,V_lm,8,4
create,2.9284,V_hi,6,1
commemorate,1.6232,V_lm,11,2
endanger,1.7482,V_lm,8,1
deprive,1.716,V_lm,7,3
accomplish,2.5105,V_hi,10,3
relocate,1.7324,V_lm,8,4
eavesdrop,1.6532,V_lm,9,2
jeopardize,2.3365,V_hm,10,4
reorganize,1.301,V_lo,10,2
relieve,2.5391,V_hi,7,4
fertilize,1.3617,V_lo,9,3
survive,3.0111,V_hi,7,2
entertain,2.382,V_hm,9,1
refuel,1.6812,V_lm,6,1
outnumber,1.7324,V_lm,9,3
emphasize,1.9191,V_hm,9,3
unscrew,1.4314,V_lo,7,1
compensate,1.9542,V_hm,10,2
destroy,3.0573,V_hi,7,1
inflate,1.3617,V_lo,7,4
eradicate,1.3222,V_lo,9,2
launder,1.5441,V_lo,7,3
overlook,2.2833,V_hm,8,4
become,3.3504,V_hi,6,3
demolish,1.3424,V_lo,8,1
confront,2.4609,V_hi,8,4
characterize,1.415,V_lo,12,4
appear,3.1216,V_hi,6,2
withhold,1.8388,V_lm,8,4
thrive,2.0899,V_hm,6,1
facilitate,1.5185,V_lo,10,2
confer,1.699,V_lm,6,2
recycle,1.6721,V_lm,7,1
expedite,1.699,V_lm,8,3
furnish,1.5315,V_lo,7,3
integrate,1.415,V_lo,9,1
prepare,3.2082,V_hi,7,1
educate,1.8451,V_lm,7,4
